,Time,User,Tweet
0,2022-03-09 17:44:25+00:00,AAnt26,"This whole process is teaching me so much, from designing the layout to reusing old materials! This coffee shop has a totally different feel and vibe than my other one...but I love it! 🤎☕ #TheNoteCoffeeShop #NumberTwo https://t.co/2b4Ii4ne79"
1,2022-03-08 21:32:48+00:00,AAnt26,More treats you'll be finding at my soon to open coffee shop!!☕ #TheNoteCoffeeShop #NumberTwo https://t.co/mikdHziJcH
2,2022-03-07 23:16:11+00:00,GnomeMaleModel,"@_RaiseTheBlack_ There is not enough bleach in the world to remove the mark he made on history.

#historicalsharts
#numbertwo"
3,2022-03-07 08:03:46+00:00,dancedj2k,@hunnywh0re #thingsyoudontwannahear #numbertwo
4,2022-03-06 21:02:11+00:00,AAnt26,First team meeting tomorrow with some of the new staff at #TheNoteCoffeeShop #NumberTwo.☕😃 https://t.co/xWBSFfXZ4x
5,2022-03-05 01:48:45+00:00,RoyLangIII,"A pooch just pooped on the ice at the @mudbugshockey game. As a former patron of Dairyland, Palm Beach and Hollywood greyhound tracks, I know it’s time to place a wager on this furry little friend! #DogTrack #NumberTwo #EarlySpeedFromOutsidePostAllDay https://t.co/1DFuKTsd0b"
6,2022-03-04 16:42:04+00:00,Twzt3d_Synapse,#ukrainecrisis #numberone #numbertwo #worstpresidentever #nancypelosi #demons #ukraine #russia #vodka #demons #democratshateamerica https://t.co/wHBzwK2uPq
7,2022-03-04 01:47:10+00:00,Jay_is_Awesome1,"Hell Yeah, after a few years of good quality #1's &amp; #2's my bathroom got it's 5 star rating ooooh yeah! ""Would Poop Here Again"". :) #cooldad #5starrating #numberone #numbertwo #bathroomrating #wouldpoophereagain https://t.co/03BQPqtD2L"
8,2022-03-02 21:25:15+00:00,chiaschi,"Sono le 22.22 del 2 del 2022...

#numbertwo #2 #two #2marzo #2marzo2022 https://t.co/YXOzRL8NiR"
9,2022-03-02 10:32:19+00:00,VidaOyster,the current Food Manager version of servethepeoplesafely should be viewed by every single human who eats food. the norovirus segments are especially compelling. #washyadamnhands #alsoanothervirus #numbertwo #poopthereitis
