,Time,User,Tweet
0,2022-03-09 21:08:42+00:00,TillyTilster,@TwElfWoman_86 Wow multiple swear words....!!
1,2022-03-09 21:00:03+00:00,secandleco,"HOW DO I USE MY REWARDS? HOW TO REDEEM POINTS
When you are ready to add an item to your cart, click the link under the ""Add to Cart"" button that says ""Buy for candle credit points"". CLICK ON THESE WORDS. WE WILL COMBINE MULTIPLE ORDERS.
https://t.co/6elXwaEqrI https://t.co/vnKDSwo2x5"
2,2022-03-09 20:59:15+00:00,ogiegoldthorpe,"@ReflectingMan @thespybrief When we translate Latin, I feel we use far more metaphors than the Romans intended. To them it is a plain matter of speaking with words that have multiple contexts: I do not like the common definition of the phrase because it is obviously uselessly diluted of practical meaning."
3,2022-03-09 20:53:59+00:00,PrepMaster,"@FromFireToTable To be fair, it's part of my job to teach students multiple meanings of words. That word is fun with multilingual English learners too because you get to teach amusing collocations #iloveELA"
4,2022-03-09 20:33:38+00:00,dean_c96,Benzema has won world cups multiple UCL’s Harry Kane has won an Audi cup … If you believe Harry Kane is a better player than Benzema there aren’t any words. https://t.co/nJFOVDplBr
5,2022-03-09 20:31:20+00:00,RavinEmerald,#MECFS stands for #MyalgicEncephalomyelitis #ChronicFatigueSyndrome what it should stand for is Miserable Existence Cruel Ferocious Sickness- that’s the PG version. Can definitely think of a non PG version with multiple swear words #MEAwarenessHour #ME #CFS #pwME https://t.co/6lEUl2AclC
6,2022-03-09 20:28:00+00:00,parrotdawg,@KenPaxtonTX @Lancegooden Very odd words coming from a man under multiple investigations and  an indictment. I guess the rule of law is different in his little closed mind.
7,2022-03-09 20:22:26+00:00,T9SydneyTrains,"@ChelseaCaffery Hi Chelsea, thank you so much for your kind words. Unfortunately there are server delays and multiple cancelations on the T9 Line. At this present moment there are no replacement buses ordered on this line. TripView is currently showing the correct data."
8,2022-03-09 20:19:10+00:00,CurryPagoda,"@santiagomayer_ @2grimm4u @MuellerSheWrote In other words, the rules of engagement are being utilized against us bc NATO &amp; the US are still adhering to them. Meanwhile Putin orders the destruction of a children’s hospital in Mariupol. Which has to activate multiple war crimes…none of this makes any sense. We are at war."
9,2022-03-09 20:14:20+00:00,hefjon,@gordonblackburn @BorisJohnson @10DowningStreet can go forth and multiple there plans is to steel everything you own his own words with the two clowns standing side by side @JustinTrudeau and Boris Johnson
10,2022-03-09 20:12:09+00:00,akebu6,"RT @akebu6: ✨Kotlin Tip✨

Did you know that  you can let your user enter multiple words or numbers separated by a space each time they pres…"
11,2022-03-09 20:08:44+00:00,mommodore64,"@ByDynoo one word; morale

multiple words: some people just get more excitement out of winning with 'bad' weapons"
12,2022-03-09 20:02:27+00:00,ballsinspector,@rparedes_11 @abbacarter @Junaid1__ @HarveyZZed @FootyScran @gomvfc Some words have multiple meanings
13,2022-03-09 20:00:26+00:00,lisekimhorton,RT @WritersDigest: Author Julia Brewer Daily discusses her hybrid approach of plotting and pantsing to maintain accuracy in historical fict…
14,2022-03-09 19:46:59+00:00,dallasguy2,@YahooNews Just like with mass shootings. Every perpetrator gets one chance to kill multiple people. Heaven forbid we take a gun away from a lunatic who telegraphed violent tendancies in words and actions.
15,2022-03-09 19:45:53+00:00,hopeful_phan,@CeceliaJoie Yes! But then as a verb! You can deja vu things. Even in Dutch you need multiple words to say that and many of our verbs are just words pasted together
16,2022-03-09 19:41:05+00:00,rabik77,"RT @Mariana_Betsa: No words, no words…Russian occupiers strike a maternity hospital in Mariupol. Multiple casualties reported. Please close…"
17,2022-03-09 19:38:10+00:00,ianpaulwright,"@EliSennesh @ennuid1 @AntonJaegermm In simulation work, if analytic solutions are out of reach, we in fact compare simulation of a single, lengthy realisation vs. multiple, shorter realisations. In other words, we cannot, and do not, assume the model is ergodic."
18,2022-03-09 19:28:56+00:00,SusanARIWORLD,Incorporating building words in 1st grade small group phonics!   Multiple opportunities for students to practice and apply the new skill using West Virginia phonics resources @WeedenElem @FlorenceK12 @Alabama_Reading https://t.co/KOB2JbgNLr
19,2022-03-09 19:22:14+00:00,19MDW80,"RT @economiserly: 19/ Moreover, node projects like $thor are hedging their bets by innovating in multiple spaces. 

In other words, they’re…"
20,2022-03-09 19:20:08+00:00,gratefultoallah,"When people don't realize that the same words have multiple meanings, they will keep reading things in one way and get stuck on their beliefs that they will never be able to grow from."
21,2022-03-09 19:16:17+00:00,IndyColtsFan247,"Some of y’all colts fans were REALLY hoping we would get Rodgers or Wilson without realizing we would not just lose Nelson but multiple firsts. All y’all fans that wanted wentz gone, conglaturation u got your wish. I hope y’all eat your words when Indy goes 3-14 next year https://t.co/qJUgYB46oW"
22,2022-03-09 18:59:30+00:00,shit_mormonssay,"@calvinjburke When you proclaim yourself god’s literal mouthpiece and publish your words in the official publication I’m confident you said exactly what you meant. The “conditional love” idea has since been repeated in other talks.  When people say shitty things multiple times, believe them."
23,2022-03-09 18:55:28+00:00,LB_W_,"@baobaofzhang Economists are masters at this as well. For CS, it is a problem but maybe a bit more defensible/understandable (different key words, approaches, …). It it very hard to find people who truly “get” multiple aspects of a problem — and as disciplines do not care, these people leave."
24,2022-03-09 18:50:07+00:00,tixmaneskin,"Duolingo says things maybe not in a true accent, but you have multiple voices for the same words/sentences. So helpful. It’s close to ""Hochdeutsch"". That’s the dialect used to taught any class in Germany. Even my teachers who spoke other dialects changed their voices/speaking."
