,Time,User,Tweet
0,2022-03-09 16:51:08+00:00,Tesla,🎨 at Giga Berlin https://t.co/ojIvG9cg4F
1,2022-03-09 14:01:23+00:00,elonmusk,Another 48 Starlinks just reached orbit https://t.co/BLb2x69lvQ
2,2022-03-09 06:47:17+00:00,elonmusk,https://t.co/e3kFCmREaC
3,2022-03-07 07:49:42+00:00,elonmusk,"You are my favorite hello,
And my hardest goodbye."
4,2022-03-06 23:57:02+00:00,elonmusk,Also nuclear is vastly better for global warming than burning hydrocarbons for energy
5,2022-03-06 23:33:20+00:00,elonmusk,"For those who (mistakenly) think this is a radiation risk, pick what you think is the worst location. I will travel… https://t.co/hS2SlZeExV"
6,2022-03-06 23:27:00+00:00,elonmusk,"Hopefully, it is now extremely obvious that Europe should restart dormant nuclear power stations and increase power… https://t.co/SjrPRhWtqp"
7,2022-03-06 14:18:02+00:00,elonmusk,"Self-driving car will amplify traffic to insane levels, as you won’t feel the pain of driving yourself"
8,2022-03-06 14:06:26+00:00,elonmusk,Defeating traffic is the ultimate boss battle. Even the most powerful humans in the world cannot defeat traffic.
9,2022-03-06 08:22:41+00:00,Tesla,"Giga Berlin darf eröffnen 🇩🇪🚘 

Come join the team! https://t.co/OdNeEGt5eB"
10,2022-03-06 04:38:57+00:00,elonmusk,Even some of the best AI software engineers in the world don’t realize how advanced Tesla AI has become
11,2022-03-06 03:45:50+00:00,elonmusk,https://t.co/UrldeBBwEc
12,2022-03-05 05:15:51+00:00,elonmusk,Starlink has been told by some governments (not Ukraine) to block Russian news sources. We will not do so unless at… https://t.co/iD0sAP7azl
13,2022-03-05 04:59:24+00:00,elonmusk,"SpaceX reprioritized to cyber defense &amp; overcoming signal jamming. 

Will cause slight delays in Starship &amp; Starlink V2."
14,2022-03-05 01:22:00+00:00,elonmusk,"And also my sympathies to the great people of Russia, who do not want this"
15,2022-03-05 01:21:07+00:00,elonmusk,🇺🇦🇺🇦🇺🇦 Hold Strong Ukraine 🇺🇦🇺🇦🇺🇦
16,2022-03-05 00:48:59+00:00,elonmusk,"Obviously, this would negatively affect Tesla, but sustainable energy solutions simply cannot react instantaneously… https://t.co/giUzIxpje7"
17,2022-03-05 00:40:01+00:00,elonmusk,"Hate to say it, but we need to increase oil &amp; gas output immediately. 

Extraordinary times demand extraordinary measures."
18,2022-03-03 21:38:16+00:00,elonmusk,RT @SpaceX: This was our 9th Falcon 9 launch in the first 9 weeks of 2022 https://t.co/yuxVN1rR8t
