,Time,User,Tweet
0,2022-03-10 00:06:39+00:00,stephan35735218,@amazon Echo studio. Kindle.
1,2022-03-10 00:06:19+00:00,GladysKrav,"@PamKeithFL @amazon And shipping should be free! Bezos can afford to donate what’s needed in 🇺🇦. Selfish, rich bastard."
2,2022-03-10 00:06:18+00:00,mdeezwutz,RT @PamKeithFL: I think it would be awesome for @Amazon to allow people to buy donations of supplies on their accounts and for Bezos to arr…
3,2022-03-10 00:06:01+00:00,Amvetus1,RT @MrsSaitama: @thesaitamawolf @Saitamaguru1 @amazon @BestBuy Ps: don’t buy a ledger or saita safe on Amazon 😅 only buy through the offici…
4,2022-03-10 00:05:44+00:00,CSinoCSino,"Acer Nitro 5 Gaming Laptop, 9th Gen Intel Core i7-9750H, GTX 1650, 15.6"" Full HD Display, 12GB DDR4, 512GB SSD, Backlit Keyboard, AN515-54 (1yr Manufacturer Warranty) (Renewed) https://t.co/pSI0V3SVhm via @amazon https://t.co/IZGvgxq9fV"
5,2022-03-10 00:05:38+00:00,DebJHolley,RT @PamKeithFL: I think it would be awesome for @Amazon to allow people to buy donations of supplies on their accounts and for Bezos to arr…
6,2022-03-10 00:05:34+00:00,Deb90243593,RT @PicolinaZoo: @PamKeithFL @amazon It would be great for Bezos to take just the earnings he's made in Russia to fund Ukraine humanitarian…
7,2022-03-10 00:05:34+00:00,ckevinbl,RT @PamKeithFL: I think it would be awesome for @Amazon to allow people to buy donations of supplies on their accounts and for Bezos to arr…
8,2022-03-10 00:05:28+00:00,JohnStehle6,@thesaitamawolf @said_zainoun @amazon @BestBuy My address is 12912 Brant Tree Drive Riverview Florida 33579 I'll take one of your tests Tesla cars
9,2022-03-10 00:05:28+00:00,Evolve_RPA,"Huge thank you to @Amazon for visiting @Evolve_RPA  today to share some career opportunities with our scholars today!

#doingHSdifferently 
@BarrFdn
@springpointEDU
#Amazon https://t.co/frJOj0hSvw"
10,2022-03-10 00:05:25+00:00,SonniSings,"Thank you @amazon (Ruskin) #RachelRiddle for allowing me to speak to leaders about resilience through affirmations/self talk, and the theme for Women's Month ""No Bias"".  
Tell your story...
You never know who may be inspired by your journey. #SonniSpeaks #Resilience #SelfLove https://t.co/rO72yNQkHg"
