,Time,User,Tweet
0,2022-03-25 16:17:09+00:00,IBM,"@_ITGeeK Great work, Kevin! 👍"
1,2022-03-25 15:55:41+00:00,IBM,@Ayobami_A96 Terrific work! 👏
2,2022-03-25 15:54:15+00:00,IBM,"@MarioRosas Great work, Mario. Keep learning! 💡"
3,2022-03-25 12:30:31+00:00,IBM,"@HarryYeriso Awesome work, Yeriso! 💪 https://t.co/rG31KsiXcG"
4,2022-03-25 12:06:14+00:00,IBM,@ksaipas Congratulations on your achievement👏 https://t.co/XPRe7dlxuE
5,2022-03-25 09:03:19+00:00,IBM,"@sebalvsantos Way to go, Sebastião 👏 https://t.co/NDjvFdhiOK"
6,2022-03-25 07:03:52+00:00,IBM,"@jigbharti998 Congratulations on your achievement, Jigyasa 👏 https://t.co/rWK4SJJOyj"
7,2022-03-24 21:14:06+00:00,IBM,"@PatriciaAAO Awesome work, Patricia! 💪"
8,2022-03-24 17:53:55+00:00,IBM,Matchup 8:
9,2022-03-24 17:53:05+00:00,IBM,Matchup 7:
10,2022-03-24 17:52:43+00:00,IBM,Matchup 6:
11,2022-03-24 17:52:21+00:00,IBM,Matchup 5:
12,2022-03-24 17:52:00+00:00,IBM,Matchup 4:
13,2022-03-24 17:51:42+00:00,IBM,Matchup 3:
14,2022-03-24 17:51:15+00:00,IBM,Matchup 2:
15,2022-03-24 17:50:52+00:00,IBM,Matchup 1:
16,2022-03-24 17:50:20+00:00,IBM,"The first round of the Gamechanger Games isn’t over yet!

Make your voice heard by voting for what you believe are some of the most groundbreaking medical and societal innovations in history. Let’s get to it! 👇🏽 https://t.co/WR9BKWjpCK"
17,2022-03-24 16:14:02+00:00,IBM,"@BitnerBill Wishing you all the best, Bill! What an incredible career. 💙"
18,2022-03-24 15:21:57+00:00,IBM,"@logopida Thanks for reaching out, Logoped. We're sorry to hear that you're having trouble with this. Please visit this page for support: https://t.co/MQvKy0QveX"
19,2022-03-24 14:36:40+00:00,IBM,"@kirwaKO Congrats, Imran! Well done! 👏"
20,2022-03-24 13:42:36+00:00,IBM,"🔬📐🖥️

Careers in STEM can shape the future. For #WomensHistoryMonth, IBM Chief Data Scientist Gabriela de Queiroz shares an idea to get more women interested in the industry. https://t.co/vvqYkvha8r"
21,2022-03-24 07:03:40+00:00,IBM,"@teja_rubio Awesome work, Jose! 💪 https://t.co/56vpMtIPXf"
22,2022-03-24 06:00:36+00:00,IBM,"@AntonioniMarco Awesome work, Marco! 💪 https://t.co/7taouH408S"
23,2022-03-23 20:24:57+00:00,IBM,"@carolinabigblue Hope you enjoyed your birthday, Michael! 💙"
