,Time,User,Tweet
0,2022-03-09 21:13:46+00:00,arsenal_25,RT @KremlinTrolls: Wow! @IBM suspended its operations in Russia
1,2022-03-09 21:06:34+00:00,PeruRT,"RT @ValaAfshar: Computer programmers operating @IBM keypunch machines, 1960s https://t.co/O8ShQi1IrP"
2,2022-03-09 21:02:48+00:00,GHATechnologies,While consumer expectations are changing — how do you keep up? #IBMCloud can help you transform your customer experiences. Watch and share this video and see how @exxonmobil boosted customer loyalty with help from @IBM. https://t.co/B5o7bthCMm
3,2022-03-09 21:01:44+00:00,AlefiyaEdu,RT @CSforALL: “If I was exposed to coding at an earlier age and in a fun way. I would be further along. It is important to start students y…
4,2022-03-09 21:00:15+00:00,RobotConsumer,"RT @graemeknows: From #MWC22: @SixFivePodcast talks with Rob High, @IBM’s #CTO for #EdgeComputing, and Mike Pollitt, Chief Sales Officer fo…"
5,2022-03-09 20:59:51+00:00,yziyaozcan,"RT @ValaAfshar: Computer programmers operating @IBM keypunch machines, 1960s https://t.co/O8ShQi1IrP"
6,2022-03-09 20:59:21+00:00,Quincyjones_x,"RT @Quant_111: Some surprises of #QNT within the last year

supplier on @GOVUK
certified by @Oracle
used by @KPMG for payments
mentioned by…"
7,2022-03-09 20:59:00+00:00,TechTargetNews,".@IBM has delivered its Z as-a-service and a new #software stack that brings mainframes and hybrid clouds closer together.

@tc20640n @jhurwitz #IBMZ https://t.co/jeKxamx3RY"
8,2022-03-09 20:58:33+00:00,MoorInsStrat,"During a @SixFivePodcast In The @IBM Booth at #MWC22, @DanielNewmanUV &amp; @PatrickMoorhead 
talked with @IBM SVP Glbl Mkts @RobdThomas on:
- changing carrier needs
- what they need to do to survive/thrive
- where $IBM fits in
- observations on new role
https://t.co/iyW6ID3aK8 $IBM"
9,2022-03-09 20:53:04+00:00,MoorInsStrat,"During a @SixFivePodcast In The @IBM Booth, @danielnewmanUV &amp; @PatrickMoorhead talk w/ @stevecanepa, IBM GM, Global Industries, &amp; @ZeeHussain7, @ATT's SVP Global Biz, about #5G:
-more than speed
-different nw upgrade
-enterprise implications
-IBM's role
https://t.co/boHVReDn8M"
10,2022-03-09 20:51:14+00:00,LiuLindberg,"RT @Experts_In_Data: Celebrate with us, the launch of the new FP&amp;A eBook with thanks to @IBM on the publication for Business Partnering Ins…"
11,2022-03-09 20:51:08+00:00,LiuLindberg,"RT @ProStrategy_Nav: Celebrate with us, the launch of the new FP&amp;A eBook with thanks to @IBM on the publication for Business Partnering Ins…"
12,2022-03-09 20:50:49+00:00,MYSTICALWOLD777,RT @NotoriousHRN: @MYSTICALWOLD777 @urbanpsych0 @RescueR0LF @spinal_capped @coomerpilled @AntonioSylviani @IBM Calm down
13,2022-03-09 20:50:48+00:00,MYSTICALWOLD777,RT @MYSTICALWOLD777: @urbanpsych0 @RescueR0LF @spinal_capped @coomerpilled @AntonioSylviani @IBM Calm down
